# Institucion,Seccion,Departamento,Descripcion
01,,,ALCALDIA Y GRUPOS POLITICOS
02,,,"AREA DE ECONOMIA, EMPLEO Y CULTURA"
03,,,"AREA DE VIA PUBLICA, SERV. GENERALES, PARQUESY JARDINES, TRANSPORTES Y DEPORTES"
04,,,AREA DE URBANISMO Y MEDIO AMBIENTE
05,,,AREA DE BIESNESTRA SOCIAL Y EDUCACION
06,,,"AREA DE SEGURIDAD CIUDADANA, TRAFICO Y BOMBEROS"
07,,,AREA DE RR.HH.
08,,,AREA DE FIESTAS MAYORES
09,,,AREA DE JUVENTUD Y PARTICIPACION CIUDADANA
10,,,AREA DE COERCIO Y AGROINDUSTRIA
11,,,AREA DE SALUD Y PROTECCION CIVIL
12,,,AREA DE COOPERACION INTERNACIONAL
13,,,AREA DE IGUALDAD Y MAYORES
83,,,PATRONATO MUNICIPAL DE DEPORTES
85,,,PATRONATO PERSONAS CON DISCAPACIDAD
86,,,RADIO RINCONADA
87,,,SODERIN VEINTIUNO
00,,,AYUNTAMIENTO DE LA RINCONADA
01,0101,,GABINETE DE ALCALDIA Y PARTIDOS POLITICOS
01,0102,,SECRETARIA GENERAL
02,0201,,HACIENDA
02,0202,,EMPLEO Y FORMACION
02,0203,,CULTURA
02,0204,,DESARROLLO ECONOMICO
02,0205,,COMUNICACIÃ“N
02,0206,,INNOVACION
02,0207,,MEMORIA HISTORICA
03,0301,,"VIA PUBLICA, PARQUES Y JARDINES Y SERVICIOS GENERALES"
03,0302,,CEMENTERIO
03,0303,,TRANSPORTES
03,0304,,RECOGIDA DE RESIDUOS
04,0401,,URBANISMO
04,0402,,MEDIO AMBIENTE
04,0403,,VIVIENDA
05,0501,,BIENESTAR SOCIAL
05,0502,,EDUCACION
06,0601,,SEGURIDAD CIUDADANA Y TRAFICO
06,0602,,BOMBEROS
07,0701,,RECURSOS HUMANOS
07,0702,,JUVENTUD
08,0801,,FIESTAS MAYORES
09,0901,,JUVENTUD
09,0902,,PARTICIPACION CIUDADANA
10,1001,,COMERCIO
11,1101,,SALUD
11,1102,,PROTECCION CIVIL
12,1201,,COOPERACION
13,1301,,IGUALDAD
13,1302,,MAYORES
83,8305,,PATRONATO MUNICIPAL DE DEPORTES
85,8531,,ADMON GENERAL
85,8532,,CENTRO OCUPACIONAL
85,8533,,RESIDENCIA ADULTOS DISCAPACITADOS
85,8534,,UNIDAD DE DIA
85,8535,,RESIDENCIA GRAVAMENTE EFECTADOS
86,8605,,RADIO RINCONADA
87,8703,,SODERIN VEINTIUNO
04,0404,,VIVIENDA
